country_code;year;researchers_per_million;renewable_energy_share_pct;;;;;;;;;;;;;;;;;;
BIH;2019;449,22435;37,02;;;;;;;;;;;;;;;;;;
BRA;2000;295,39965;42,66;;;;;;;;;;;;;;;;;;
BRA;2001;337,66823;41,33;;;;;;;;;;;;;;;;;;
BRA;2002;398,78635;42,85;;;;;;;;;;;;;;;;;;
BRA;2003;423,76935;45,11;;;;;;;;;;;;;;;;;;
BRA;2004;483,9042;45,18;;;;;;;;;;;;;;;;;;
BRA;2005;509,99376;46,13;;;;;;;;;;;;;;;;;;
BRA;2006;544,22701;46,67;;;;;;;;;;;;;;;;;;
BRA;2007;556,04721;47,19;;;;;;;;;;;;;;;;;;
BRA;2008;591,60137;47,04;;;;;;;;;;;;;;;;;;
BRA;2009;626,43869;48,92;;;;;;;;;;;;;;;;;;
BRA;2010;687,11104;46,81;;;;;;;;;;;;;;;;;;
BRA;2011;738,61648;45,26;;;;;;;;;;;;;;;;;;
BRA;2012;789,24593;43,49;;;;;;;;;;;;;;;;;;
BRA;2013;839,21041;42,32;;;;;;;;;;;;;;;;;;
BRA;2014;888,46387;41,71;;;;;;;;;;;;;;;;;;
CAN;2000;3534,27412;22,04;;;;;;;;;;;;;;;;;;
CAN;2001;3713,39408;21,53;;;;;;;;;;;;;;;;;;
CAN;2002;3720,42203;21,77;;;;;;;;;;;;;;;;;;
CAN;2003;3915,01044;21,18;;;;;;;;;;;;;;;;;;
CAN;2004;4104,82627;21,58;;;;;;;;;;;;;;;;;;
CAN;2005;4263,78367;21,99;;;;;;;;;;;;;;;;;;
CAN;2006;4345,23306;21,92;;;;;;;;;;;;;;;;;;
CAN;2007;4628,8723;21,84;;;;;;;;;;;;;;;;;;
CAN;2008;4758,97992;21,91;;;;;;;;;;;;;;;;;;
CAN;2009;4496,9596;22,5;;;;;;;;;;;;;;;;;;
CAN;2010;4696,43912;21,88;;;;;;;;;;;;;;;;;;
CAN;2011;4835,43373;21,84;;;;;;;;;;;;;;;;;;
CAN;2012;4683,61282;22,17;;;;;;;;;;;;;;;;;;
CAN;2013;4678,26158;22,44;;;;;;;;;;;;;;;;;;
CAN;2014;4593,9354;22,49;;;;;;;;;;;;;;;;;;
CAN;2015;4575,34932;22,69;;;;;;;;;;;;;;;;;;
CAN;2016;4428,73004;22,05;;;;;;;;;;;;;;;;;;
CAN;2017;4459,44796;22,47;;;;;;;;;;;;;;;;;;
CAN;2018;4749,13107;21,99;;;;;;;;;;;;;;;;;;
CAN;2019;4884,82065;22,11;;;;;;;;;;;;;;;;;;
CHL;2007;338,163;30,46;;;;;;;;;;;;;;;;;;
CHL;2008;359,49821;30,83;;;;;;;;;;;;;;;;;;
CHL;2009;290,14443;31,53;;;;;;;;;;;;;;;;;;
CHL;2010;321,51182;27,04;;;;;;;;;;;;;;;;;;
CHL;2011;355,70616;28,79;;;;;;;;;;;;;;;;;;
CHL;2012;393,88468;30,31;;;;;;;;;;;;;;;;;;
CHL;2013;338,19309;30,23;;;;;;;;;;;;;;;;;;
CHL;2014;431,09735;26,95;;;;;;;;;;;;;;;;;;
CHL;2015;459,82989;25,07;;;;;;;;;;;;;;;;;;
CHL;2016;500,26785;24,55;;;;;;;;;;;;;;;;;;
CHL;2017;499,76144;24,11;;;;;;;;;;;;;;;;;;
CHL;2018;529,07152;25,46;;;;;;;;;;;;;;;;;;
CHL;2019;512,46591;25,26;;;;;;;;;;;;;;;;;;
CHN;2000;551,80724;29,63;;;;;;;;;;;;;;;;;;
CHN;2001;585,47457;28,36;;;;;;;;;;;;;;;;;;
CHN;2002;634,76435;27;;;;;;;;;;;;;;;;;;
CHN;2003;670,9215;23,86;;;;;;;;;;;;;;;;;;
CHN;2004;716,47762;20,17;;;;;;;;;;;;;;;;;;
CHN;2005;859,97612;17,44;;;;;;;;;;;;;;;;;;
CHN;2006;934,93071;16,39;;;;;;;;;;;;;;;;;;
CHN;2007;1080,5736;14,88;;;;;;;;;;;;;;;;;;
